No. Runs,No. Fails,No. Prods,Ratio,% Fail
"[100, 9997, 100, 0.75, 99.97]"
"[100, 9501, 100, 0.76, 95.00999999999999]"
"[100, 6748, 100, 0.77, 67.47999999999999]"
"[100, 2802, 100, 0.78, 28.02]"
"[100, 1021, 100, 0.79, 10.209999999999999]"
"[100, 291, 100, 0.8, 2.91]"
"[100, 98, 100, 0.81, 0.98]"
"[100, 7, 100, 0.8200000000000001, 0.06999999999999999]"
"[100, 0, 100, 0.8300000000000001, 0.0]"
"[100, 0, 100, 0.8400000000000001, 0.0]"
"[100, 18603, 200, 0.75, 93.015]"
"[100, 8847, 200, 0.76, 44.235]"
"[100, 1603, 200, 0.77, 8.015]"
"[100, 308, 200, 0.78, 1.54]"
"[100, 19, 200, 0.79, 0.095]"
"[100, 0, 200, 0.8, 0.0]"
"[100, 0, 200, 0.81, 0.0]"
"[100, 0, 200, 0.8200000000000001, 0.0]"
"[100, 0, 200, 0.8300000000000001, 0.0]"
"[100, 0, 200, 0.8400000000000001, 0.0]"
"[100, 18480, 300, 0.75, 61.6]"
"[100, 3232, 300, 0.76, 10.773333333333333]"
"[100, 496, 300, 0.77, 1.6533333333333333]"
"[100, 2, 300, 0.78, 0.006666666666666667]"
"[100, 0, 300, 0.79, 0.0]"
"[100, 0, 300, 0.8, 0.0]"
"[100, 0, 300, 0.81, 0.0]"
"[100, 0, 300, 0.8200000000000001, 0.0]"
"[100, 0, 300, 0.8300000000000001, 0.0]"
"[100, 0, 300, 0.8400000000000001, 0.0]"
"[100, 10194, 400, 0.75, 25.485000000000003]"
"[100, 358, 400, 0.76, 0.895]"
"[100, 10, 400, 0.77, 0.025]"
"[100, 0, 400, 0.78, 0.0]"
"[100, 0, 400, 0.79, 0.0]"
"[100, 0, 400, 0.8, 0.0]"
"[100, 0, 400, 0.81, 0.0]"
"[100, 0, 400, 0.8200000000000001, 0.0]"
"[100, 0, 400, 0.8300000000000001, 0.0]"
"[100, 0, 400, 0.8400000000000001, 0.0]"
